epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,240.623,1.86373,1.35264,0.51638,2.00016,0.03001,9.01829,0.29992,0.71642,0.31268,0.09874,0.46889,0.6984,0.57108,0.49023,2.29725,1.11058,0.24355,2.60867,0.04061,0,0.001505,0.001505,0.001505
27,249.051,1.85449,1.2535,0.51538,1.95278,0.03059,8.83007,0.25881,0.46269,0.22768,0.05834,0.62723,0.75346,0.70732,0.59115,3.15001,1.11035,0.15552,2.09079,0.06278,0,0.0014852,0.0014852,0.0014852
28,257.518,1.82634,1.15954,0.51233,1.88247,0.0306,9.06592,0.31626,0.49254,0.30734,0.08022,0.53063,0.62435,0.58588,0.50469,2.48017,0.9897,0.18559,2.03473,0.04924,0,0.0014654,0.0014654,0.0014654
29,265.939,1.8146,1.03974,0.54562,1.88625,0.03047,8.58413,0.41038,0.61291,0.48014,0.14077,0.60428,0.68377,0.7219,0.60603,2.6081,0.7549,0.17206,1.92394,0.04546,0,0.0014456,0.0014456,0.0014456
30,274.426,1.8189,0.8234,0.51965,1.92449,0.03199,8.40197,0.25722,0.41791,0.21517,0.06341,0.56671,0.79104,0.75245,0.68357,2.62726,0.49137,0.19612,2.31819,0.0454,0,0.0014258,0.0014258,0.0014258
31,282.95,1.79387,0.95098,0.50495,1.86196,0.02996,8.21042,0.24422,0.34243,0.23675,0.05921,0.51203,0.74627,0.64256,0.55962,2.69351,0.89099,0.20866,2.10867,0.05388,0,0.001406,0.001406,0.001406
32,291.441,1.82358,1.01643,0.51477,1.83239,0.0313,8.4242,0.30479,0.65672,0.31877,0.10166,0.59766,0.73165,0.72584,0.65952,1.75654,1.26075,0.26871,2.61767,0.03252,0,0.0013862,0.0013862,0.0013862
33,299.933,1.78485,0.87404,0.54044,1.81018,0.03054,8.00648,0.3835,0.58209,0.43127,0.16271,0.52211,0.6686,0.61124,0.58242,2.065,0.44341,0.20874,1.72833,0.03368,0,0.0013664,0.0013664,0.0013664
34,308.439,1.83886,0.82533,0.50302,1.7663,0.02978,7.71032,0.36888,0.65672,0.34679,0.10726,0.66861,0.53731,0.67969,0.61626,1.96898,0.69524,0.19129,2.19452,0.03524,0,0.0013466,0.0013466,0.0013466
35,316.805,1.82997,0.98077,0.52099,1.78328,0.03132,8.34152,0.13873,0.40299,0.09207,0.02097,0.69023,0.71642,0.80423,0.53605,2.49852,1.50953,0.28465,3.0624,0.05797,0,0.0013268,0.0013268,0.0013268
36,325.29,1.8162,0.96935,0.51299,1.74789,0.03167,8.60546,0.29403,0.55224,0.27219,0.07062,0.67714,0.78263,0.79639,0.62804,3.15087,0.57687,0.16633,1.7438,0.06143,0,0.001307,0.001307,0.001307
37,333.665,1.79535,0.8057,0.49316,1.74876,0.03016,7.72105,0.32935,0.68657,0.41636,0.12112,0.65291,0.7019,0.75386,0.71741,2.36041,0.30145,0.17218,1.95838,0.04283,0,0.0012872,0.0012872,0.0012872
38,342.057,1.85435,0.8535,0.49795,1.74425,0.03211,8.2908,0.27699,0.53749,0.31158,0.07663,0.57023,0.77612,0.69352,0.61665,2.33457,0.6516,0.20157,2.36496,0.04782,0,0.0012674,0.0012674,0.0012674
