epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,39.5949,1.12537,1.88207,0.61791,0.68085,0.01196,6.51009,0.99585,1,0.995,0.7429,0.99585,1,0.995,0.63295,0.94491,1.28087,0.37031,0.3461,0.01293,0,0.00115885,0.00115885,0.00115885
27,40.3439,1.18166,1.53603,0.56435,0.62577,0.01186,5.39841,0.99199,1,0.995,0.73122,0.99199,1,0.995,0.66681,0.97567,1.36086,0.36512,0.4495,0.01346,0,0.00118816,0.00118816,0.00118816
28,41.1147,1.0197,1.34499,0.54847,0.496,0.01048,5.99735,0.999,1,0.995,0.73642,0.999,1,0.995,0.70238,0.93691,1.08888,0.37028,0.33962,0.01394,0,0.00121628,0.00121628,0.00121628
29,41.8782,1.108,1.3673,0.53553,0.47477,0.01202,5.58706,0.98298,1,0.995,0.78262,0.92837,0.94444,0.91627,0.70642,0.90418,0.98043,0.35288,0.33538,0.01196,0,0.00124322,0.00124322,0.00124322
30,42.8239,1.07659,1.51724,0.53873,0.55766,0.01067,5.3139,0.99597,1,0.995,0.68007,0.93976,0.94444,0.91719,0.70318,1.22636,1.09109,0.30916,0.45485,0.01656,0,0.00126896,0.00126896,0.00126896
31,43.6313,1.13956,1.14758,0.50437,0.64463,0.01119,4.39557,0.99264,1,0.995,0.71581,0.93705,0.94444,0.91219,0.73516,1.15525,0.88194,0.30812,0.34769,0.01538,0,0.00129352,0.00129352,0.00129352
32,44.4038,1.24664,1.38949,0.50931,0.55922,0.01422,5.05649,0.99055,1,0.995,0.67755,0.93552,0.94444,0.9106,0.77548,1.28422,0.75881,0.2639,0.34613,0.01745,0,0.00131689,0.00131689,0.00131689
33,45.1309,1.34073,1.46308,0.54119,0.71277,0.01516,6.10974,1,0.93907,0.95022,0.64931,0.94084,0.88383,0.86639,0.71436,1.20637,0.92471,0.25315,0.73075,0.01702,0,0.00133907,0.00133907,0.00133907
34,45.9076,1.19902,1.27424,0.5192,0.67764,0.01285,5.08372,0.99541,1,0.995,0.64893,0.94,0.94444,0.93645,0.63472,1.19266,1.35987,0.25098,0.35678,0.01713,0,0.0013466,0.0013466,0.0013466
35,46.6595,1.13637,1.58359,0.49644,0.61814,0.01208,5.29865,0.9941,1,0.995,0.59592,0.93874,0.94444,0.93603,0.71706,1.32839,1.09241,0.24676,0.41536,0.01836,0,0.0013268,0.0013268,0.0013268
36,47.4221,1.16527,1.00448,0.51796,0.53488,0.01278,4.21069,0.99531,1,0.995,0.65581,0.94001,0.94444,0.94604,0.80919,1.20837,0.95574,0.24043,0.33595,0.01669,0,0.001307,0.001307,0.001307
37,48.1437,1.1111,1.00887,0.54278,0.54429,0.01212,4.70874,0.99514,1,0.995,0.63936,0.93985,0.94444,0.94655,0.83477,1.30909,0.97342,0.24003,0.3661,0.01856,0,0.0012872,0.0012872,0.0012872
38,48.9176,1.15579,0.72707,0.51188,0.52824,0.01289,3.88255,0.99917,1,0.995,0.68985,0.94306,0.94444,0.94588,0.7594,1.22902,1.26741,0.22512,0.33626,0.01608,0,0.0012674,0.0012674,0.0012674
39,49.7754,1.17873,1.41494,0.47377,0.61181,0.01321,5.15833,0.99413,1,0.995,0.72519,0.94133,0.94444,0.96167,0.7034,1.10801,1.41712,0.2246,0.30773,0.01427,0,0.0012476,0.0012476,0.0012476
40,50.5486,1.08935,1.23457,0.55819,0.59564,0.01211,4.41914,1,0.93942,0.94914,0.68915,0.94085,0.884,0.89453,0.661,1.08753,1.17152,0.21591,0.48659,0.01664,0,0.0012278,0.0012278,0.0012278
41,51.2907,1.14387,1.19721,0.52104,0.6137,0.01241,4.14095,0.99508,0.94444,0.97962,0.70407,0.93655,0.88889,0.93053,0.7277,1.13274,0.98619,0.21631,0.41113,0.01759,0,0.001208,0.001208,0.001208
42,52.0508,1.03443,0.94982,0.51108,0.52006,0.01113,4.27292,0.9843,0.94444,0.98786,0.68793,0.92608,0.88889,0.93519,0.80599,1.22847,0.81458,0.22096,0.3997,0.01801,0,0.0011882,0.0011882,0.0011882
43,52.7955,1.05617,0.99516,0.49823,0.5764,0.01169,3.90783,0.98966,0.94444,0.96868,0.62987,0.93094,0.88889,0.91556,0.78421,1.34897,0.86275,0.23224,0.53907,0.01845,0,0.0011684,0.0011684,0.0011684
44,53.5644,1.11405,1.02024,0.54796,0.63835,0.01153,3.8523,0.995,1,0.995,0.66116,0.93972,0.94444,0.92992,0.76129,1.33144,1.09651,0.24256,0.37611,0.01848,0,0.0011486,0.0011486,0.0011486
45,54.3151,1.04904,0.93413,0.47891,0.53856,0.01039,3.78784,0.99532,1,0.995,0.7146,0.94002,0.94444,0.93156,0.77166,1.1042,1.11581,0.23768,0.30121,0.01484,0,0.0011288,0.0011288,0.0011288
46,55.0711,1.0084,1.21839,0.4676,0.72251,0.01054,4.55028,0.99406,0.94444,0.98786,0.69879,0.93547,0.88889,0.91901,0.66188,1.02492,1.10448,0.22146,0.43442,0.01454,0,0.001109,0.001109,0.001109
47,55.9379,1.192,1.30073,0.51388,0.52914,0.01299,4.69312,0.99868,1,0.995,0.70104,0.9426,0.94444,0.93163,0.721,1.15311,1.13762,0.23178,0.34808,0.01608,0,0.0010892,0.0010892,0.0010892
48,56.7072,1.062,1.11556,0.55721,0.627,0.01083,3.69321,1,0.9933,0.995,0.63599,0.94405,0.93774,0.94175,0.75307,1.50234,1.10705,0.22282,0.41666,0.02167,0,0.0010694,0.0010694,0.0010694
49,57.4426,1.10559,0.76145,0.48715,0.51702,0.01128,3.68755,0.99712,1,0.995,0.63175,0.94114,0.94444,0.9408,0.74886,1.37008,1.19077,0.22778,0.51418,0.01935,0,0.0010496,0.0010496,0.0010496
50,58.2093,1.14127,1.16053,0.47592,0.55604,0.01322,4.37815,0.99371,1,0.995,0.64324,0.93837,0.94444,0.95024,0.6793,1.25697,1.36719,0.2202,0.3576,0.01634,0,0.0010298,0.0010298,0.0010298
51,58.9611,1.07031,1.17975,0.49007,0.60749,0.01102,4.12813,0.99931,1,0.995,0.68134,0.94325,0.94444,0.94239,0.68889,1.19327,1.32217,0.22465,0.3199,0.015,0,0.00101,0.00101,0.00101
52,59.7257,1.03365,1.0173,0.47603,0.57606,0.01048,3.6717,0.99529,1,0.995,0.65094,0.94,0.94444,0.92282,0.75206,1.22125,1.09823,0.2259,0.32356,0.01594,0,0.0009902,0.0009902,0.0009902
53,60.4697,0.9832,0.8436,0.4865,0.49911,0.01129,3.68375,0.99619,1,0.995,0.70682,0.94085,0.94444,0.94202,0.76895,1.12633,1.17901,0.22524,0.28751,0.01596,0,0.0009704,0.0009704,0.0009704
54,61.2685,1.05131,0.98071,0.50144,0.5285,0.01175,4.41774,0.99668,1,0.995,0.71876,0.94437,0.94444,0.95291,0.74978,1.12773,1.43033,0.22311,0.28404,0.01867,0,0.0009506,0.0009506,0.0009506
55,62.1229,1.1537,0.96993,0.49965,0.48646,0.01276,3.72332,0.94529,1,0.995,0.74994,0.94281,0.91668,0.97917,0.7677,0.99542,1.3345,0.22662,0.3041,0.01567,0,0.0009308,0.0009308,0.0009308
56,62.9024,1.02735,0.63328,0.53572,0.44662,0.01201,3.33219,0.99692,1,0.995,0.77797,0.94145,0.94444,0.96979,0.79937,0.86756,1.17151,0.22623,0.23377,0.01143,0,0.000911,0.000911,0.000911
57,63.6721,1.10509,0.94589,0.51303,0.52557,0.01245,3.75885,1,0.99245,0.995,0.75126,0.944,0.93689,0.96979,0.81712,0.91791,1.01443,0.22476,0.26963,0.01197,0,0.0008912,0.0008912,0.0008912
58,64.4626,0.91427,0.65008,0.44225,0.48102,0.00944,2.94913,0.99651,1,0.995,0.67912,0.94106,0.94444,0.975,0.87386,1.22383,0.76051,0.23434,0.29678,0.01602,0,0.0008714,0.0008714,0.0008714
59,65.2214,1.22994,0.88423,0.48974,0.62085,0.01231,3.25215,0.99615,1,0.995,0.63372,1,0.94198,0.9825,0.88407,1.41757,0.77251,0.24269,0.34258,0.01852,0,0.0008516,0.0008516,0.0008516
