epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,33.0358,1.65939,2.60936,0.46569,2.38061,0.00869,8.10554,0.32957,0.33333,0.39947,0.18538,0.32957,0.33333,0.34333,0.15551,1.67319,2.66203,0.41276,2.59717,0.01197,0,0.00112835,0.00112835,0.00112835
26,33.8156,1.78988,1.93653,0.4395,2.46801,0.0094,7.42847,0.29586,0.44444,0.32301,0.14211,0.31925,0.38889,0.29811,0.15326,1.58238,2.36246,0.35991,2.43165,0.01065,0,0.00115885,0.00115885,0.00115885
27,34.5514,1.817,2.27472,0.43543,2.27017,0.00951,7.03264,0.21433,0.38889,0.34371,0.13125,0.25488,0.38889,0.33411,0.18485,1.70309,2.17935,0.34601,2.44489,0.01066,0,0.00118816,0.00118816,0.00118816
28,35.306,1.84731,2.16131,0.44093,2.30873,0.00898,6.94355,0.1261,0.5,0.1427,0.04839,0.13079,0.38889,0.13812,0.07673,2.10348,2.3924,0.33427,2.63811,0.01565,0,0.00121628,0.00121628,0.00121628
29,36.0408,1.79333,2.47071,0.43698,2.47544,0.01002,7.11336,0.1251,0.55556,0.18367,0.08972,0.1251,0.55556,0.18753,0.1061,1.77218,2.12248,0.32731,2.60794,0.013,0,0.00124322,0.00124322,0.00124322
30,36.9259,1.79829,2.04033,0.42932,2.28914,0.00897,6.45716,0.29171,0.44444,0.36328,0.16628,0.22559,0.38889,0.3028,0.17471,1.67723,2.03003,0.3036,2.30874,0.01142,0,0.00126896,0.00126896,0.00126896
31,37.6573,1.91869,2.00851,0.40404,2.21565,0.00869,6.44726,0.32536,0.38889,0.36303,0.16925,0.43338,0.38889,0.3336,0.18088,1.71649,1.82164,0.29763,2.31165,0.01156,0,0.00129352,0.00129352,0.00129352
32,38.4157,1.80723,2.64922,0.43544,2.20181,0.00877,6.6654,0.39091,0.39237,0.37305,0.16448,0.45793,0.38889,0.33712,0.18873,1.70937,1.86771,0.27729,2.22663,0.01197,0,0.00131689,0.00131689,0.00131689
33,39.1561,2.0231,2.27951,0.39731,2.30424,0.01061,6.70318,0.30898,0.29883,0.30409,0.14139,0.30898,0.29883,0.29497,0.14794,1.61724,2.13645,0.28745,2.31874,0.01093,0,0.00133907,0.00133907,0.00133907
34,39.939,1.89922,1.94081,0.36938,2.27635,0.00963,6.31418,0.22537,0.33333,0.21865,0.09664,0.1651,0.38461,0.1905,0.11747,1.84233,2.50139,0.25798,2.37402,0.01278,0,0.0013466,0.0013466,0.0013466
35,40.6787,1.81496,2.18622,0.39693,2.27509,0.00934,6.69245,0.1969,0.5,0.25062,0.09978,0.1969,0.5,0.22469,0.12936,1.81156,2.38235,0.24455,2.27744,0.0128,0,0.0013268,0.0013268,0.0013268
36,41.4611,1.79599,2.14267,0.41427,2.36209,0.00888,6.55996,0.19585,0.3384,0.22513,0.07594,0.25334,0.33333,0.2925,0.18715,2.00389,1.51074,0.22872,2.21043,0.013,0,0.001307,0.001307,0.001307
37,42.2321,1.76323,1.78129,0.40418,2.3261,0.00836,6.14253,0.20306,0.38889,0.21935,0.07857,0.19793,0.22222,0.21044,0.13472,1.78406,1.55271,0.22052,2.28263,0.01173,0,0.0012872,0.0012872,0.0012872
38,43.0464,1.80334,1.90201,0.37635,2.2296,0.00938,6.42651,0.20174,0.4075,0.27959,0.10241,0.17421,0.35194,0.27172,0.18206,1.60817,1.67308,0.21687,2.42869,0.01084,0,0.0012674,0.0012674,0.0012674
