epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43.3253,1.19408,0.84673,0.00177,0.79554,0.81851,0.88206,0.61614,1.1293,0.9238,0.00228,0.0011684,0.0011684,0.0011684
44,43.9506,1.18247,0.81907,0.00167,0.84286,0.80071,0.88304,0.61261,1.18862,0.92862,0.00249,0.0011486,0.0011486,0.0011486
45,44.5459,1.22606,0.80382,0.00163,0.84331,0.80443,0.88526,0.61319,1.16741,0.89751,0.00224,0.0011288,0.0011288,0.0011288
46,45.2141,1.18984,0.79285,0.00162,0.83671,0.81851,0.89154,0.56944,1.29202,0.81658,0.00242,0.001109,0.001109,0.001109
47,45.8224,1.18495,0.76879,0.00176,0.81141,0.83274,0.89311,0.61482,1.18678,0.76164,0.00231,0.0010892,0.0010892,0.0010892
48,46.4888,1.24497,0.82081,0.00169,0.83614,0.83534,0.89847,0.5477,1.43528,0.77394,0.00286,0.0010694,0.0010694,0.0010694
49,47.106,1.27065,0.80189,0.00181,0.81449,0.85053,0.89839,0.56091,1.40581,0.76747,0.00297,0.0010496,0.0010496,0.0010496
50,47.7653,1.21147,0.76435,0.00181,0.83049,0.82918,0.89685,0.64657,1.10709,0.74836,0.00208,0.0010298,0.0010298,0.0010298
51,48.3716,1.16624,0.76375,0.00164,0.87038,0.81249,0.90209,0.63666,1.13648,0.72816,0.00225,0.00101,0.00101,0.00101
52,48.995,1.16535,0.74711,0.00163,0.86636,0.84342,0.90509,0.60237,1.2501,0.73913,0.00266,0.0009902,0.0009902,0.0009902
53,49.6216,1.1825,0.72321,0.00164,0.893,0.83164,0.90438,0.5896,1.29525,0.70972,0.00281,0.0009704,0.0009704,0.0009704
54,50.29,1.17091,0.77799,0.00166,0.88531,0.8363,0.90556,0.61714,1.19837,0.68324,0.0024,0.0009506,0.0009506,0.0009506
55,50.8876,1.18593,0.76721,0.00167,0.86339,0.84342,0.90544,0.6229,1.19982,0.68345,0.00241,0.0009308,0.0009308,0.0009308
56,51.5579,1.13473,0.73708,0.00165,0.84368,0.84342,0.9066,0.62511,1.18412,0.69574,0.00238,0.000911,0.000911,0.000911
