epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.86,1.15335,0.59673,0.00269,0.77313,0.86901,0.87525,0.41118,1.75816,0.83831,0.00404,0.0017294,0.0017294,0.0017294
43,171.33,1.08994,0.62861,0.00268,0.73881,0.88889,0.87118,0.37809,1.87524,0.86787,0.00399,0.0017228,0.0017228,0.0017228
44,174.807,1.10422,0.57905,0.00268,0.85707,0.82514,0.90977,0.42202,1.83058,0.83357,0.00355,0.0017162,0.0017162,0.0017162
45,178.262,1.15651,0.65581,0.00289,0.80813,0.83607,0.8839,0.36501,2.00484,0.87246,0.00392,0.0017096,0.0017096,0.0017096
46,181.745,1.14888,0.57152,0.00256,0.80822,0.85977,0.88958,0.40722,1.81714,0.93051,0.00432,0.001703,0.001703,0.001703
47,185.207,1.10369,0.55873,0.00281,0.83569,0.8306,0.90389,0.42407,1.79975,0.82725,0.004,0.0016964,0.0016964,0.0016964
48,188.667,1.09241,0.57554,0.00277,0.79309,0.85878,0.88048,0.42957,1.78197,0.80435,0.00375,0.0016898,0.0016898,0.0016898
49,192.094,1.10076,0.56287,0.00259,0.77782,0.8725,0.87283,0.41023,1.8212,0.84251,0.00373,0.0016832,0.0016832,0.0016832
50,195.592,1.09155,0.57555,0.00268,0.83049,0.8816,0.91058,0.46771,1.66798,0.79278,0.00373,0.0016766,0.0016766,0.0016766
51,199.111,1.12538,0.57585,0.00256,0.83205,0.87614,0.91256,0.4462,1.68897,0.83244,0.0038,0.00167,0.00167,0.00167
52,202.557,1.0742,0.57372,0.00254,0.80389,0.89617,0.90428,0.42266,1.70952,0.85432,0.0038,0.0016634,0.0016634,0.0016634
53,206.028,1.11183,0.59541,0.00278,0.81238,0.85181,0.88447,0.4019,1.78493,0.89299,0.00393,0.0016568,0.0016568,0.0016568
54,209.514,1.12747,0.57957,0.00287,0.78804,0.90071,0.89449,0.45616,1.67076,0.80846,0.00352,0.0016502,0.0016502,0.0016502
55,212.995,1.10556,0.55518,0.00259,0.85795,0.85064,0.91291,0.41521,1.87424,0.79154,0.00389,0.0016436,0.0016436,0.0016436
56,216.478,1.09168,0.55355,0.00262,0.82012,0.87202,0.90859,0.48679,1.61613,0.74098,0.00352,0.001637,0.001637,0.001637
57,219.948,1.07448,0.53839,0.0026,0.82618,0.88342,0.91844,0.50854,1.57752,0.71813,0.00345,0.0016304,0.0016304,0.0016304
58,223.442,1.03322,0.58257,0.00269,0.80864,0.88342,0.89725,0.3869,1.97254,0.80036,0.00419,0.0016238,0.0016238,0.0016238
59,226.964,1.11214,0.5708,0.00268,0.80865,0.89071,0.89682,0.36729,2.06308,0.86428,0.00451,0.0016172,0.0016172,0.0016172
60,230.469,1.16565,0.57708,0.00267,0.84357,0.88525,0.91394,0.42866,1.85643,0.80303,0.0041,0.0016106,0.0016106,0.0016106
61,233.903,1.11018,0.56217,0.00269,0.83436,0.88084,0.92253,0.48218,1.69764,0.77415,0.00391,0.001604,0.001604,0.001604
62,237.412,1.11658,0.5883,0.00259,0.85082,0.8725,0.93127,0.49548,1.58651,0.74325,0.00353,0.0015974,0.0015974,0.0015974
63,240.919,1.06127,0.55915,0.00246,0.8231,0.88525,0.91324,0.47828,1.67985,0.71737,0.00375,0.0015908,0.0015908,0.0015908
64,244.39,1.07695,0.53597,0.00256,0.85283,0.85064,0.92163,0.47418,1.73685,0.76156,0.00394,0.0015842,0.0015842,0.0015842
65,247.795,1.07207,0.53282,0.0026,0.83553,0.89982,0.93037,0.48101,1.7153,0.76149,0.00375,0.0015776,0.0015776,0.0015776
